,0,1,2,3
Moderately active,2200.0,2400.0,2600.0,2800.0
Protein (Cal),165.0,180.0,195.0,210.0
Carbohydrate (Cal),385.0,420.0,455.0,490.0
Fiber (gr),19.0,19.0,19.0,19.0
Total Sugar (Cal),88.0,96.0,104.0,112.0
Total lipid (Cal),220.0,240.0,260.0,280.0
Total Trans Fat (Cal),22.0,24.0,26.0,28.0
Total Saturated Fat (Cal),66.0,72.0,78.0,84.0
Cholesterol (mg),100.0,100.0,100.0,100.0
Calcium (mg),582.5,582.5,582.5,582.5
Iron (mg),10.0,10.0,10.0,10.0
"Sodium, (mg)",460.0,460.0,460.0,460.0
Vitamin A (mcg RAE),615.0,615.0,615.0,615.0
Vitamin C (mg),21.0,21.0,21.0,21.0
Calories per Meal,733.33,800.0,866.6699999999998,933.3300000000002
Extreme Pizza,0.6500000000000002,0.7250000000000003,0.7250000000000003,0.7500000000000003
Domino's,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
California Pizza Kitchen,0.6000000000000002,0.6500000000000002,0.6750000000000003,0.6750000000000003
Denny's,0.5952380952380956,0.6190476190476194,0.6190476190476194,0.6190476190476194
Blaze Pizza,0.5555555555555557,0.5555555555555557,0.5833333333333335,0.6111111111111113
Peter Piper Pizza,0.53125,0.53125,0.53125,0.5625
Panera Bread,0.5000000000000001,0.5500000000000002,0.5500000000000002,0.5500000000000002
Pizza Hut,0.3333333333333333,0.36666666666666664,0.3833333333333333,0.3833333333333333
BJ's Restaurants,0.3513513513513512,0.3513513513513512,0.3513513513513512,0.3648648648648647
Corner Bakery Cafe,0.3,0.325,0.325,0.325
Johnny Carino's,0.2884615384615384,0.3076923076923076,0.3076923076923076,0.3076923076923076
Burger King,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
TGI Friday's,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.36842105263157887
Applebee's,0.2058823529411765,0.23529411764705885,0.23529411764705885,0.23529411764705885
Chili's,0.2,0.2285714285714286,0.2285714285714286,0.2285714285714286
Which Wich,0.2,0.2,0.2,0.2
Schlotzsky's,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517
Chuy's,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
Romano's Macaroni Grill,0.15,0.175,0.19999999999999998,0.19999999999999998
McDonald's,0.12000000000000001,0.18,0.18,0.19999999999999998
LongHorn Steakhouse,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
Mimi's Cafe,0.15625,0.15625,0.15625,0.1875
Newk's Eatery,0.16363636363636366,0.16363636363636366,0.16363636363636366,0.16363636363636366
Mod Pizza,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516
Jack in the Box,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516
Dairy Queen,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
Taco Bueno,0.125,0.125,0.125,0.125
Perkins Restaurant And Bakery,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.11627906976744186
Sonic,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109
Frullati Cafe & Bakery,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931
La Salsa Fresh Mexican Grill,0.0625,0.0625,0.0625,0.0625
Carl's Jr,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061
Tropical Smoothie Cafe,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061
Jersey Mike's Subs,0.05,0.05,0.05,0.05
Cheesecake Factory,0.038461538461538464,0.038461538461538464,0.05128205128205128,0.05128205128205128
Starbucks,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Whataburger,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.047619047619047616
Redbrick Pizza,0.0,0.025,0.025,0.025
Doubledave's Pizzaworks,0.0,0.0,0.0,0.03225806451612903
