,name,brand_id,fs_id,address,address2,city,state,country,zip,phone,website,guide,id,lat,lng,created_at,updated_at,distance_km
80,Subway,513fbc1283aa2dc80c000005,,11215 S INTERSTATE 35 STE 128,,Austin,TX,US,78747,+15122828884,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",837595,30.136999130249023,-97.7959976196289,2017-06-26T21:59:11.000Z,2017-08-20T14:02:38.000Z,15.863686283687663
216,Subway,513fbc1283aa2dc80c000005,,6422 HIGHWAY 183 S,,Austin,TX,US,78744,+15122430109,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",796835,30.165000915527344,-97.69300079345703,2017-06-26T21:54:34.000Z,2017-08-20T14:07:28.000Z,12.187232602368416
217,Auntie Anne's,513fbc1283aa2dc80c00013e,4cadcc8bd1f8b60c8cb771c6,3600 Presidential Blvd Ste 204,,Austin,TX,US,78719,,http://www.auntieannes.com,,2492829,30.20216178894043,-97.666259765625,2018-09-21T14:06:53.000Z,2019-01-05T14:56:54.000Z,12.271611890678374
218,Thundercloud Subs,513fbc1283aa2dc80c000b53,,3600 PRESIDENTIAL BLVD #213,,Austin,TX,US,78719,+15125303025,http://thundercloud.com/,,790078,30.2021484375,-97.66683197021484,2017-06-26T21:53:40.000Z,2017-08-20T14:06:12.000Z,12.309971676821819
219,Schlotzsky's,513fbc1283aa2dc80c00013a,,3600 PRESIDENTIAL BLVD,,Austin,TX,US,78719,+15125302900,http://www.schlotzskys.com,,1869663,30.202634811401367,-97.6673812866211,2017-07-12T17:55:52.000Z,2017-08-20T14:06:32.000Z,12.385515567445411
220,Auntie Anne's,513fbc1283aa2dc80c00013e,,3600 PRESIDENTIAL BLVD STE 204,,Austin,TX,US,78719,+15123851166,http://www.auntieannes.com,,842312,30.202999114990234,-97.66799926757812,2017-06-26T21:59:43.000Z,2017-08-20T14:06:34.000Z,12.456349391794246
223,Gatti's Pizza,513fbc1283aa2dc80c0003ee,,1555 BASTROP HWY,,Austin,TX,US,78742,+15125838104,http://gattispizza.com,,840192,30.22209930419922,-97.67459869384766,2017-06-26T21:59:28.000Z,2017-08-20T14:04:23.000Z,14.43058963938864
225,Waffle House,55ded06e27fbbf82551a8491,,7809 E BEN WHITE BLVD,,Austin,TX,US,78744,+15123890444,http://www.wafflehouse.com,,1882668,30.219253540039062,-97.68824768066406,2017-07-12T17:57:32.000Z,2017-08-20T14:08:53.000Z,15.111522216348929
226,Subway,513fbc1283aa2dc80c000005,,7709 E BEN WHITE BLVD,,Austin,TX,US,78744,+15123895011,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",795011,30.218000411987305,-97.69000244140625,2017-06-26T21:54:17.000Z,2017-08-20T14:09:00.000Z,15.138019811787965
227,Starbucks,513fbc1283aa2dc80c00001f,,7709 E BEN WHITE BLVD,,Austin,TX,US,78744,+15123868826,http://www.starbucks.com,"<p><b id=""docs-internal-guid-825ed8d2-82fe-2196-a809-a535cba9006f""></b></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);background-color: transparent;"">Caffeine is a morning necessity for millions worldwide. If you’re not a fan of drinking your coffee black or espresso straight, try these suggestions to skim calories, fat, and sugar from your beverage of choice.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Make your latte “skinny”</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Lose the whip and substitute nonfat milk  in your latte to cut fat and calories. Lose the sugary syrups and pump up the flavor with the sugar-free versions instead. </span><span style=""color: #000000;background-color: transparent;""><br class=""kix-line-break""/></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Downsize</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">If you can't resist that Caramel Macchiato or Vanilla Latte, stick to a modest Tall or Short size to indulge for fewer calories.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Snack smart</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">For a healthy breakfast on-the-go, try the Whole-Grain Oatmeal, Reduced-Fat Turkey Bacon Breakfast Sandwich, or the Spinach &amp; Feta Breakfast Wrap. Looking for a snack? Satisfy your sweet tooth with seasonal fruit or a Greek yogurt parfait.  If you need something a bit more substantial to battle the afternoon hunger, try the Protein Bistro Box.</span></p>",796310,30.218717575073242,-97.68929290771484,2017-06-26T21:54:29.000Z,2017-08-20T14:18:03.000Z,15.143017080264316
